"Year","Neighbourhood","Crimes"
2010-01-01,"Westview  (NBHD)",536
2010-01-01,"Kelsey - Woodlawn  (NBHD)",525
2010-01-01,"Fairhaven  (NBHD)",513
2010-01-01,"Varsity View  (NBHD)",505
2010-01-01,"Dundonald  (NBHD)",487
2010-01-01,"Holliston  (NBHD)",484
2010-01-01,"Airport Business Area  (NBHD)",447
2010-01-01,"Silverwood Heights  (NBHD)",435
2010-01-01,"Haultain  (NBHD)",427
2010-01-01,"Forest Grove  (NBHD)",422
2010-01-01,"Nutana Suburban Centre  (NBHD)",420
2010-01-01,"Brevoort Park  (NBHD)",414
2010-01-01,"Buena Vista  (NBHD)",405
2010-01-01,"Exhibition  (NBHD)",404
2010-01-01,"Central Industrial  (NBHD)",400
2010-01-01,"Hudson Bay Park  (NBHD)",366
2010-01-01,"Parkridge  (NBHD)",362
2010-01-01,"Lakeview  (NBHD)",345
2010-01-01,"Lawson Heights Suburban Centre  (NBHD)",339
2010-01-01,"Pacific Heights  (NBHD)",321
2010-01-01,"U of S Mgmt Area  (NBHD)",313
2010-01-01,"River Heights  (NBHD)",305
2010-01-01,"College Park East  (NBHD)",301
2010-01-01,"Queen Elizabeth  (NBHD)",295
2010-01-01,"Hudson Bay Industrial  (NBHD)",293
2010-01-01,"Stonebridge  (NBHD)",282
2010-01-01,"Holiday Park  (NBHD)",278
2010-01-01,"Grosvenor Park  (NBHD)",272
2010-01-01,"Avalon  (NBHD)",262
2010-01-01,"Blairmore Suburban Centre  (NBHD)",246
2010-01-01,"Lawson Heights  (NBHD)",246
